"","sourceid","dstid","hod","mean_travel_time","standard_deviation_travel_time","geometric_mean_travel_time","geometric_standard_deviation_travel_time"
"5508448",865,1559,8,1903.92,583.47,1830.34,1.31
"4588806",309,17,12,4517.44,1435.68,4326.15,1.33
"5330655",2635,345,0,1478.9,237.4,1461.09,1.17
"4939541",600,1106,10,1819.54,584.05,1735.65,1.35
"5954637",1524,2620,15,549.14,254.95,505.17,1.48
"6735756",741,695,7,1318.93,512.75,1232.97,1.44
"2606333",1728,314,1,444.99,299.47,396.91,1.56
"9985220",921,1458,13,2489,339.67,2468.09,1.14
"8278836",378,2113,16,757.22,138.27,744.51,1.2
"6050472",683,91,3,517.31,126.41,503.04,1.26
"3215803",184,66,12,967.71,308.23,929.73,1.31
"1188732",76,2654,7,2476.08,748.06,2360.71,1.37
"9001757",460,1098,9,926.66,365.3,869.92,1.41
"4195321",1707,2513,0,2155.29,433.1,2111.99,1.22
"2449558",454,1912,16,2010.5,582.24,1920.21,1.36
"7220280",1222,2157,10,1331.47,376.92,1295.33,1.24
"2629811",385,1083,9,2079.38,487.92,2022.24,1.27
"5117190",193,195,11,1010.7,217.29,991.17,1.21
"10627291",2404,1438,21,2339.13,331.51,2318.76,1.14
"8294907",1893,1634,4,1921,273.33,1903.52,1.14
"7404645",80,1053,5,1269.13,229.07,1250.34,1.18
"1411464",2407,1871,21,708.28,185.22,691.63,1.22
"1697700",66,718,20,590.57,262.39,544.03,1.47
"186837",264,2114,3,855.5,230.8,831.67,1.25
"7247786",1299,1030,3,983.58,270.09,954.55,1.26
"6012732",191,100,15,538.21,226.45,494.06,1.53
"5474035",1526,477,20,711.41,267.36,676.8,1.34
"7057360",1073,286,6,842.82,257.99,766.45,1.84
"8030725",339,1556,17,2437.92,842.25,2278.13,1.47
"8460042",2218,953,23,1739.06,518.01,1669.29,1.32
"4521621",2348,1651,1,993.53,242.93,970.22,1.23
"9750551",1904,1834,15,1386.75,286.92,1359.15,1.22
"2290006",2441,537,4,83.62,68,67.69,2.05
"697937",103,2431,18,1220.87,496.19,1153.49,1.37
"1361409",321,1094,23,1057.32,331.88,1011.87,1.34
"10821205",436,1924,23,398.62,181.97,364.04,1.52
"10020647",1677,2437,10,2139.9,352.78,2110.8,1.18
"5204978",629,2540,14,3918,766.32,3837.84,1.23
"859632",1063,1520,19,966.08,294.01,928.85,1.31
"1575168",1065,1087,2,367.27,123.7,353.31,1.29
"3719881",719,328,15,2698.95,1083.86,2482.79,1.52
"2858076",1596,2454,2,803.19,190.39,787.48,1.2
"4128534",216,2423,11,1420.5,334.94,1384.84,1.25
"6639580",1056,621,12,1533.38,193.25,1521.66,1.13
"8195106",1646,1692,12,913.5,423.96,834.7,1.52
"6583160",1613,1033,6,372.68,197.51,323.46,1.76
"1016921",2127,2463,7,1570.14,411.75,1523.43,1.27
"7988968",1728,338,13,1304.25,437.44,1240.22,1.36
"1936020",986,2368,13,1403.4,434.64,1324.47,1.44
"7057754",1621,1784,19,1506.94,108.46,1503.12,1.07
"10198712",309,1406,15,380.93,296.74,299.73,1.93
"10675285",617,487,22,816.75,322.41,763.52,1.43
"58018",2368,2532,1,510.6,269.1,454.06,1.61
"1847993",212,1832,18,3587.25,660.62,3526.84,1.2
"1860231",2505,1154,18,5562.25,682.45,5519.97,1.13
"8952339",82,1536,12,1705.08,371.38,1664.86,1.25
"10197856",1087,1462,20,967.92,298.71,924.76,1.35
"7970208",98,65,7,2270.4,797.52,2145.24,1.4
"7931244",2318,1233,14,2948.47,375.65,2924.13,1.14
"10566984",1504,1613,16,2091.71,809.06,1961.6,1.42
"7568409",2353,103,18,498.5,241.2,456.37,1.49
"3673889",1036,866,16,2639.13,535.89,2586.31,1.22
"1132543",2466,1725,19,2115.13,281.34,2098.35,1.13
"5416633",652,1749,0,1209.25,211.69,1191.84,1.18
